Item_name,Item_code,Outlet,Outlet_place,Outlet_type,Month,Year,Units,Katalog
Artikl_SM 225G,6207691,PLODINE DD,PLODINE VUKOVARSKA,Mali supermarket,2,2019,6879,0
Artikl_SM 225G,6207691,PLODINE DD,PLODINE VUKOVARSKA,Mali supermarket,3,2017,6879,0
Artikl_SM 225G,6207691,PLODINE DD,PLODINE VUKOVARSKA,Mali supermarket,3,2018,42994,0
Artikl_SM 225G,6207691,PLODINE DD,PLODINE VUKOVARSKA,Mali supermarket,3,2019,31529,0
Artikl_SM 225G,6207691,PLODINE DD,PLODINE VUKOVARSKA,Mali supermarket,4,2017,63057,0
Artikl_SM 225G,6207691,PLODINE DD,PLODINE VUKOVARSKA,Mali supermarket,4,2018,0,0
Artikl_SM 225G,6207691,PLODINE DD,PLODINE VUKOVARSKA,Mali supermarket,5,2017,28662,0
Artikl_SM 225G,6207691,PLODINE DD,PLODINE VUKOVARSKA,Mali supermarket,5,2018,85987,0
Artikl_SM 225G,6207691,PLODINE DD,PLODINE VUKOVARSKA,Mali supermarket,6,2017,65924,0
Artikl_SM 225G,6207691,PLODINE DD,PLODINE VUKOVARSKA,Mali supermarket,6,2018,14331,1
Artikl_SM 225G,6207691,PLODINE DD,PLODINE VUKOVARSKA,Mali supermarket,7,2017,11465,0
Artikl_SM 225G,6207691,PLODINE DD,PLODINE VUKOVARSKA,Mali supermarket,7,2018,4586,0
Artikl_SM 225G,6207691,PLODINE DD,PLODINE VUKOVARSKA,Mali supermarket,8,2017,31529,0
Artikl_SM 225G,6207691,PLODINE DD,PLODINE VUKOVARSKA,Mali supermarket,8,2018,14331,0
Artikl_SM 225G,6207691,PLODINE DD,PLODINE VUKOVARSKA,Mali supermarket,9,2017,0,0
Artikl_SM 225G,6207691,PLODINE DD,PLODINE VUKOVARSKA,Mali supermarket,9,2018,0,1
Artikl_SM 225G,6207691,PLODINE DD,PLODINE VUKOVARSKA,Mali supermarket,10,2017,60191,0
Artikl_SM 225G,6207691,PLODINE DD,PLODINE VUKOVARSKA,Mali supermarket,10,2018,48726,0
Artikl_SM 225G,6207691,PLODINE DD,PLODINE VUKOVARSKA,Mali supermarket,11,2017,40127,0
Artikl_SM 225G,6207691,PLODINE DD,PLODINE VUKOVARSKA,Mali supermarket,11,2018,71656,1
Artikl_SM 225G,6207691,PLODINE DD,PLODINE VUKOVARSKA,Mali supermarket,12,2017,48726,0
Artikl_SM 225G,6207691,PLODINE DD,PLODINE VUKOVARSKA,Mali supermarket,12,2018,14331,1
Artikl_SM 225G,6207691,PLODINE DD,PLODINE OTOÈAC,Mali supermarket,1,2017,25478,0
Artikl_SM 225G,6207691,PLODINE DD,PLODINE OTOÈAC,Mali supermarket,1,2018,20064,1
Artikl_SM 225G,6207691,PLODINE DD,PLODINE OTOÈAC,Mali supermarket,1,2019,17197,1
Artikl_SM 225G,6207691,PLODINE DD,PLODINE OTOÈAC,Mali supermarket,2,2017,5732,0
Artikl_SM 225G,6207691,PLODINE DD,PLODINE OTOÈAC,Mali supermarket,2,2018,11465,0
Artikl_SM 225G,6207691,PLODINE DD,PLODINE OTOÈAC,Mali supermarket,2,2019,14331,0
Artikl_SM 225G,6207691,PLODINE DD,PLODINE OTOÈAC,Mali supermarket,3,2017,8599,0
Artikl_SM 225G,6207691,PLODINE DD,PLODINE OTOÈAC,Mali supermarket,3,2018,8599,0
Artikl_SM 225G,6207691,PLODINE DD,PLODINE OTOÈAC,Mali supermarket,3,2019,5732,0
Artikl_SM 225G,6207691,PLODINE DD,PLODINE OTOÈAC,Mali supermarket,4,2017,10191,0
Artikl_SM 225G,6207691,PLODINE DD,PLODINE OTOÈAC,Mali supermarket,4,2018,0,0
Artikl_SM 225G,6207691,PLODINE DD,PLODINE OTOÈAC,Mali supermarket,5,2017,8599,0
Artikl_SM 225G,6207691,PLODINE DD,PLODINE OTOÈAC,Mali supermarket,5,2018,25796,0
Artikl_SM 225G,6207691,PLODINE DD,PLODINE OTOÈAC,Mali supermarket,6,2017,5732,0
Artikl_SM 225G,6207691,PLODINE DD,PLODINE OTOÈAC,Mali supermarket,6,2018,5732,1
Artikl_SM 225G,6207691,PLODINE DD,PLODINE OTOÈAC,Mali supermarket,7,2017,5732,0
Artikl_SM 225G,6207691,PLODINE DD,PLODINE OTOÈAC,Mali supermarket,7,2018,14331,0
Artikl_SM 225G,6207691,PLODINE DD,PLODINE OTOÈAC,Mali supermarket,8,2017,11465,0
Artikl_SM 225G,6207691,PLODINE DD,PLODINE OTOÈAC,Mali supermarket,8,2018,14331,0
Artikl_SM 225G,6207691,PLODINE DD,PLODINE OTOÈAC,Mali supermarket,9,2017,2866,0
